t: 95470r: 18, x: 363.0000000000, p: 2.3594999313, v: -1200.0000000000, d: -0.7560000420, a: 18.0000000000, dd: -2.1599998474, res: 0.5564999580
t: 95480r: 16, x: 198.0000000000, p: 1.2870000601, v: -1060.0036621094, d: -0.6678023338, a: 17.0000000000, dd: -2.0399999619, res: 1.4208022356
t: 95490r: 13, x: -43.0000000000, p: -0.2795000076, v: -11720.0019531250, d: -7.3836016655, a: 14.0000000000, dd: -1.6799999475, res: 9.3431015015
t: 95500r: 9, x: -197.0000000000, p: -1.2805000544, v: -4880.0019531250, d: -3.0744013786, a: 11.0000000000, dd: -1.3199999332, res: 5.6749010086
t: 95510r: 5, x: 300.0000000000, p: 1.9500000477, v: -17480.0019531250, d: -11.0124015808, a: 7.0000000000, dd: -0.8399999738, res: 9.9024019241
t: 95520r: 3, x: 280.0000000000, p: 1.8200000525, v: -1579.9987792969, d: -0.9953992963, a: 3.0000000000, dd: -0.3599999845, res: -0.4646007717
t: 95530r: 1, x: 305.0000000000, p: 1.9825000763, v: 1380.0003662109, d: 0.8694002628, a: 1.0000000000, dd: -0.1199999973, res: -2.7319004536
t: 95540r: 1, x: 251.0000000000, p: 1.6315000057, v: 10240.0000000000, d: 6.4512004852, a: 1.0000000000, dd: -0.1199999973, res: -7.9627008438
t: 95550r: 2, x: 240.0000000000, p: 1.5600000620, v: 1979.9987792969, d: 1.2473993301, a: 2.0000000000, dd: -0.2399999946, res: -2.5673992634
t: 95560r: 5, x: 231.0000000000, p: 1.5015000105, v: 14559.9980468750, d: 9.1727991104, a: 3.0000000000, dd: -0.3599999845, res: -10.3142995834
t: 95570r: 7, x: 222.0000000000, p: 1.4430000782, v: -1279.9987792969, d: -0.8063992858, a: 5.0000000000, dd: -0.5999999642, res: -0.0366008288
t: 95580r: 9, x: 216.0000000000, p: 1.4040000439, v: -1060.0006103516, d: -0.6678004265, a: 8.0000000000, dd: -0.9599999785, res: 0.2238003612
t: 95590r: 10, x: 204.0000000000, p: 1.3259999752, v: -860.0006103516, d: -0.5418003798, a: 10.0000000000, dd: -1.1999999285, res: 0.4158003330
t: 95600r: 9, x: -62.0000000000, p: -0.4029999971, v: -800.0000000000, d: -0.5040000081, a: 9.0000000000, dd: -1.0799999237, res: 1.9869999886
t: 95610r: 7, x: 272.0000000000, p: 1.7680000067, v: -2460.0007324219, d: -1.5498005152, a: 7.0000000000, dd: -0.8399999738, res: 0.6218004823
t: 95620r: 5, x: 176.0000000000, p: 1.1440000534, v: 920.0012207031, d: 0.5796008110, a: 6.0000000000, dd: -0.7199999690, res: -1.0036008358
t: 95630r: 4, x: 153.0000000000, p: 0.9945000410, v: -1100.0000000000, d: -0.6930000186, a: 4.0000000000, dd: -0.4799999893, res: 0.1784999669
t: 95640r: 3, x: 141.0000000000, p: 0.9165000319, v: -1220.0012207031, d: -0.7686008215, a: 3.0000000000, dd: -0.3599999845, res: 0.2121007740
t: 95650r: 2, x: 134.0000000000, p: 0.8709999919, v: -1260.0006103516, d: -0.7938004136, a: 2.0000000000, dd: -0.2399999946, res: 0.1628004164
t: 95660r: 1, x: 117.0000000000, p: 0.7605000138, v: 300.0000000000, d: 0.1890000105, a: 1.0000000000, dd: -0.1199999973, res: -0.8295000196
t: 95670r: 2, x: 112.0000000000, p: 0.7280000448, v: -3100.0000000000, d: -1.9530000687, a: 1.0000000000, dd: -0.1199999973, res: 1.3450000286
t: 95680r: 1, x: 104.0000000000, p: 0.6759999990, v: -1220.0012207031, d: -0.7686008215, a: 1.0000000000, dd: -0.1199999973, res: 0.2126008272
t: 95690r: 0, x: 93.0000000000, p: 0.6044999957, v: -1100.0000000000, d: -0.6930000186, a: 1.0000000000, dd: -0.1199999973, res: 0.2085000277
t: 95700r: 0, x: 82.0000000000, p: 0.5329999924, v: -1060.0006103516, d: -0.6678004265, a: 0.0000000000, dd: -0.0000000000, res: 0.1348004341
t: 95710r: 0, x: 71.0000000000, p: 0.4615000188, v: -940.0009155273, d: -0.5922005773, a: 0.0000000000, dd: -0.0000000000, res: 0.1307005584
t: 95720r: 0, x: 61.0000000000, p: 0.3965000212, v: -1040.0009765625, d: -0.6552006602, a: 0.0000000000, dd: -0.0000000000, res: 0.2587006390
t: 95730r: -1, x: 45.0000000000, p: 0.2925000191, v: -1060.0006103516, d: -0.6678004265, a: -1.0000000000, dd: 0.1199999973, res: 0.2553004026
t: 95740r: -2, x: 41.0000000000, p: 0.2664999962, v: -1059.9991455078, d: -0.6677994728, a: -1.0000000000, dd: 0.1199999973, res: 0.2812994719
t: 95750r: -2, x: 32.0000000000, p: 0.2080000043, v: -1039.9993896484, d: -0.6551996469, a: -2.0000000000, dd: 0.2399999946, res: 0.2071996480
t: 95760r: -2, x: 20.0000000000, p: 0.1299999952, v: -1140.0001220703, d: -0.7182000875, a: -2.0000000000, dd: 0.2399999946, res: 0.3482000828
t: 95770r: -3, x: 11.0000000000, p: 0.0715000064, v: -959.9998779297, d: -0.6047999263, a: -2.0000000000, dd: 0.2399999946, res: 0.2932999134
t: 95780r: -5, x: 3.0000000000, p: 0.0195000004, v: -959.9998779297, d: -0.6047999263, a: -4.0000000000, dd: 0.4799999893, res: 0.1052999198
t: 95790r: -6, x: -7.0000000000, p: -0.0455000028, v: -940.0001831055, d: -0.5922001600, a: -5.0000000000, dd: 0.5999999642, res: 0.0377001760
t: 95800r: -6, x: -6.0000000000, p: -0.0390000008, v: -980.0000610352, d: -0.6174000502, a: -6.0000000000, dd: 0.7199999690, res: -0.0635999424
t: 95810r: -6, x: -26.0000000000, p: -0.1689999998, v: -620.0000000000, d: -0.3906000257, a: -6.0000000000, dd: 0.7199999690, res: -0.1603999734
t: 95820r: -6, x: -36.0000000000, p: -0.2339999974, v: -860.0000610352, d: -0.5418000817, a: -6.0000000000, dd: 0.7199999690, res: 0.0558001399
t: 95830r: -6, x: -39.0000000000, p: -0.2535000145, v: -859.9998779297, d: -0.5417999625, a: -6.0000000000, dd: 0.7199999690, res: 0.0753000384
